Years at Company,Performance Rating,Number of Promotions,Overtime,Education Level,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Company Reputation,Attrition,OverallSatisfaction,Opportunities,AnnualIncome,AgeGroup,RoleStagnationRatio,TenureGap,EarlyCompanyTenureRisk,LongTenureLowRoleRisk
2.67,3,0,1,2,0,3,2,7.0,0,3,0,2,0,0,4,0.334,4.33,0,0
2.83,3,0,1,2,4,2,2,7.58,1,3,0,3,0,0,3,0.33,4.75,0,1
0.92,3,0,1,2,2,3,1,2.33,0,3,0,3,1,0,1,0.276,1.4100000000000001,1,0
0.08,3,1,0,4,2,1,1,2.25,0,1,0,3,0,0,3,0.025,2.17,1,0
3.67,3,1,0,4,0,2,1,4.58,0,3,1,2,1,0,4,0.658,0.9100000000000001,0,0
1.83,3,0,0,4,0,1,2,2.33,0,4,1,2,0,0,3,0.55,0.5,1,0
0.17,2,0,0,2,0,2,1,4.5,0,2,0,2,1,0,3,0.031,4.33,1,0
0.5,2,0,1,1,1,1,2,5.92,0,3,0,2,2,0,3,0.072,5.42,1,1
1.5,3,2,0,2,2,3,1,3.83,0,4,1,2,1,0,2,0.311,2.33,1,0
0.75,3,2,0,3,2,3,2,7.17,1,1,0,3,0,0,3,0.092,6.42,1,0
2.25,3,2,1,4,4,1,1,5.83,0,1,0,2,1,0,3,0.329,3.58,0,1
1.92,3,2,1,3,3,2,2,3.92,0,3,0,3,0,0,4,0.39,2.0,1,0
0.17,3,0,0,2,4,1,1,5.75,0,3,1,2,0,0,3,0.025,5.58,1,1
1.42,3,0,0,2,4,1,1,2.25,0,3,1,1,0,0,2,0.437,0.8300000000000001,1,0
1.83,2,2,1,2,2,2,2,6.17,0,3,0,3,0,0,4,0.255,4.34,1,1
1.0,2,0,1,2,1,1,2,3.0,0,1,1,3,0,0,2,0.25,2.0,1,0
0.58,3,2,0,3,1,1,1,1.83,0,3,1,3,0,0,4,0.205,1.25,1,0
3.0,4,1,0,4,0,1,2,5.58,1,1,1,1,0,0,4,0.456,2.58,0,1
0.17,4,0,1,4,2,1,2,2.08,1,3,0,2,0,0,1,0.055,1.9100000000000001,1,0
0.25,2,0,1,2,3,1,1,4.08,1,1,0,3,0,0,1,0.049,3.83,1,0
0.67,3,1,1,2,1,2,2,5.08,0,3,1,3,1,0,3,0.11,4.41,1,1
2.33,3,0,0,4,0,1,1,8.58,0,3,0,3,0,0,3,0.243,6.25,0,1
0.5,3,0,1,2,3,3,1,5.33,0,1,1,3,1,0,4,0.079,4.83,1,0
1.5,4,0,1,1,2,2,1,5.92,0,3,1,2,0,0,4,0.217,4.42,1,1
0.92,3,0,0,4,0,3,2,1.0,0,3,0,2,0,0,1,0.46,0.07999999999999996,1,0
1.75,3,1,0,2,0,2,1,3.25,1,3,0,2,0,0,2,0.412,1.5,1,0
1.0,3,2,0,1,3,2,1,2.75,0,3,0,2,0,0,2,0.267,1.75,1,0
0.25,3,0,0,4,1,1,3,4.75,0,3,1,3,1,0,2,0.043,4.5,1,0
1.83,1,3,1,1,0,2,2,4.83,1,3,0,2,0,0,4,0.314,3.0,1,0
1.83,3,1,0,4,2,1,1,5.42,1,4,1,1,0,0,2,0.285,3.59,1,1
1.08,3,0,0,2,3,3,1,4.75,0,2,1,3,1,0,1,0.188,3.67,1,0
0.17,2,0,0,3,3,3,1,1.42,0,3,0,3,1,0,1,0.07,1.25,1,0
2.83,3,0,1,1,2,2,1,6.92,0,2,1,2,0,0,4,0.357,4.09,0,1
1.33,3,1,0,2,1,1,1,5.5,0,3,1,3,0,0,4,0.205,4.17,1,1
1.75,3,2,1,2,2,1,1,8.33,1,3,0,4,0,0,4,0.188,6.58,1,1
0.5,3,0,0,1,2,1,3,5.42,0,2,0,2,0,0,3,0.078,4.92,1,1
0.92,3,2,0,2,0,3,1,5.17,1,1,0,2,0,0,2,0.149,4.25,1,0
2.92,2,1,1,1,1,1,2,7.0,1,1,0,3,1,0,4,0.365,4.08,0,1
0.67,3,0,0,4,1,2,2,1.42,0,1,1,3,1,0,2,0.277,0.7499999999999999,1,0
1.17,2,0,1,2,2,2,3,1.67,0,3,1,2,0,0,2,0.438,0.5,1,0
0.08,1,0,1,2,3,1,1,6.0,0,3,1,2,0,0,4,0.011,5.92,1,1
2.0,4,0,0,2,3,3,2,7.42,0,1,0,2,0,0,4,0.238,5.42,1,0
0.92,4,0,0,4,2,3,2,6.67,0,4,1,2,0,0,3,0.12,5.75,1,0
0.17,3,0,1,4,1,1,3,5.75,0,2,1,3,1,0,4,0.025,5.58,1,1
0.17,3,0,0,1,5,1,3,0.5,1,4,0,2,0,0,3,0.113,0.32999999999999996,1,0
0.83,3,0,0,3,1,3,3,5.33,0,2,0,3,0,0,1,0.131,4.5,1,0
1.92,3,2,1,1,3,1,2,6.5,0,3,1,2,1,0,4,0.256,4.58,1,1
2.33,3,0,1,2,3,3,2,2.5,0,2,1,2,0,0,3,0.666,0.16999999999999993,0,0
0.75,4,1,0,2,0,1,3,6.42,0,2,1,2,0,0,4,0.101,5.67,1,1
1.83,3,0,0,2,1,2,2,5.75,0,3,1,2,0,0,3,0.271,3.92,1,1
0.75,2,0,1,2,1,2,2,5.08,0,2,1,2,0,0,3,0.123,4.33,1,1
1.42,3,2,0,2,2,2,2,4.5,0,3,0,2,0,0,2,0.258,3.08,1,0
1.17,3,2,0,2,0,3,3,7.25,1,3,0,2,2,0,4,0.142,6.08,1,0
0.17,2,0,0,4,2,1,2,4.83,0,3,1,3,0,0,4,0.029,4.66,1,0
2.0,2,0,0,2,0,1,2,7.33,1,2,0,1,0,0,4,0.24,5.33,1,1
1.5,4,0,1,3,2,2,2,1.67,0,3,1,2,0,0,3,0.562,0.16999999999999993,1,0
0.08,3,1,0,2,1,1,3,3.42,0,2,1,3,1,0,1,0.018,3.34,1,0
2.83,2,1,0,1,1,1,2,8.08,0,1,0,3,0,0,3,0.312,5.25,0,1
0.83,3,1,1,2,0,1,3,6.25,0,1,1,2,0,0,2,0.114,5.42,1,1
1.58,4,0,0,5,0,1,2,7.33,0,3,0,3,0,0,2,0.19,5.75,1,1
2.33,2,0,0,4,0,3,2,4.08,0,3,0,2,1,0,4,0.459,1.75,0,0
3.33,4,0,0,2,1,3,3,5.58,1,1,0,3,0,0,4,0.506,2.25,0,0
1.42,2,1,0,5,4,1,1,5.0,0,4,0,2,0,0,3,0.237,3.58,1,0
1.42,4,0,0,2,0,2,3,2.58,0,3,0,3,0,0,2,0.397,1.1600000000000001,1,0
0.17,3,0,0,4,4,3,3,2.75,0,3,0,2,1,0,2,0.045,2.58,1,0
0.67,4,2,1,3,0,1,1,5.75,0,4,0,3,1,0,2,0.099,5.08,1,1
0.42,3,0,1,1,0,1,3,6.25,0,2,1,2,0,0,3,0.058,5.83,1,1
1.83,1,0,0,5,6,2,1,1.92,0,3,0,3,1,0,4,0.627,0.08999999999999986,1,0
0.08,3,1,0,3,4,1,1,1.0,0,3,1,2,0,0,2,0.04,0.92,1,0
1.25,3,0,0,2,5,1,3,2.83,0,3,0,3,0,0,4,0.326,1.58,1,0
1.0,3,1,0,3,0,1,2,1.17,1,3,0,3,0,0,4,0.461,0.16999999999999993,1,0
0.92,4,0,1,1,2,3,3,2.92,0,3,0,3,0,0,2,0.235,2.0,1,0
0.5,4,0,1,2,0,1,1,3.17,0,3,1,2,0,0,4,0.12,2.67,1,0
0.58,4,1,1,1,3,1,1,5.92,1,3,1,2,1,0,3,0.084,5.34,1,1
0.25,1,3,0,4,0,1,2,4.75,1,1,1,2,0,0,2,0.043,4.5,1,0
0.58,4,0,0,2,0,3,1,1.33,1,4,0,2,0,0,3,0.249,0.7500000000000001,1,0
1.08,3,2,0,2,0,3,1,6.75,0,3,0,3,1,0,4,0.139,5.67,1,0
0.5,3,0,0,2,0,1,2,7.0,0,2,1,2,0,0,4,0.062,6.5,1,1
0.17,3,1,0,3,1,2,3,6.0,0,4,1,3,1,0,3,0.024,5.83,1,1
1.17,3,1,1,2,4,1,3,4.33,0,1,1,2,0,0,4,0.22,3.16,1,0
1.83,1,0,0,3,4,1,2,4.58,0,3,1,3,1,0,3,0.328,2.75,1,0
3.42,2,0,0,3,4,1,2,3.92,0,3,1,2,0,0,4,0.695,0.5,0,0
0.75,3,0,1,2,1,3,3,1.67,0,1,1,2,0,0,4,0.281,0.9199999999999999,1,0
0.75,4,1,0,4,4,2,2,2.58,0,1,1,2,0,0,3,0.209,1.83,1,0
2.67,4,1,0,1,1,1,1,6.67,0,2,0,2,0,0,4,0.348,4.0,0,1
0.92,3,0,0,4,0,1,3,4.58,0,2,1,2,0,0,1,0.165,3.66,1,0
3.33,2,0,0,4,0,2,2,8.83,0,4,1,1,0,0,4,0.339,5.5,0,1
1.58,2,0,0,1,3,1,2,7.5,1,1,0,3,0,0,4,0.186,5.92,1,1
2.0,3,0,1,4,1,1,2,4.08,0,3,0,2,0,0,4,0.394,2.08,1,0
0.67,3,4,0,1,5,3,1,2.92,0,3,0,2,0,0,2,0.171,2.25,1,0
0.33,3,2,0,1,0,3,2,4.42,0,2,1,2,0,0,1,0.061,4.09,1,0
1.08,3,1,1,4,3,2,2,6.08,0,3,0,2,0,0,3,0.153,5.0,1,1
0.17,4,2,1,2,0,3,1,5.17,0,3,0,2,0,0,1,0.028,5.0,1,0
1.08,2,0,0,2,0,2,2,6.92,1,2,0,3,0,0,2,0.136,5.84,1,1
2.0,4,2,1,4,1,2,2,5.17,0,3,1,3,0,0,3,0.324,3.17,1,1
0.25,1,1,1,1,2,1,2,2.25,0,2,1,2,1,0,1,0.077,2.0,1,0
2.5,3,1,0,4,1,1,2,3.08,0,3,1,3,0,0,4,0.613,0.5800000000000001,0,0
2.92,3,2,0,2,0,2,2,6.67,1,3,0,2,0,0,4,0.381,3.75,0,1
3.75,3,2,0,1,3,2,3,4.33,0,1,1,2,0,0,4,0.704,0.5800000000000001,0,0
0.17,3,0,1,4,1,1,1,0.42,0,1,1,3,0,0,4,0.12,0.24999999999999997,1,0
3.25,4,0,0,4,3,1,3,6.33,0,1,1,3,2,0,4,0.443,3.08,0,1
0.17,4,0,1,4,2,2,2,5.42,0,2,1,2,0,0,1,0.026,5.25,1,1
1.33,3,0,0,4,1,2,1,7.5,0,3,1,2,1,0,4,0.156,6.17,1,1
1.67,3,4,0,1,1,3,1,6.67,1,3,0,3,0,0,3,0.218,5.0,1,0
1.25,1,0,0,2,1,3,1,7.83,0,4,0,2,1,0,2,0.142,6.58,1,0
0.92,3,0,0,3,2,1,3,3.75,0,4,1,2,0,0,2,0.194,2.83,1,0
3.58,3,0,0,4,1,2,1,9.92,0,3,0,2,0,0,4,0.328,6.34,0,1
2.17,1,4,0,1,5,2,1,4.42,0,3,0,3,1,0,2,0.4,2.25,0,0
2.42,3,3,0,4,3,1,1,4.67,0,2,0,2,0,0,3,0.427,2.25,0,0
0.17,3,0,0,4,0,1,1,5.17,0,3,0,3,0,0,1,0.028,5.0,1,1
1.5,4,1,0,4,2,1,2,5.25,0,3,1,2,0,0,4,0.24,3.75,1,1
2.92,3,1,0,4,4,3,1,4.42,0,4,0,3,0,0,3,0.539,1.5,0,0
0.25,2,0,0,4,0,1,2,1.25,0,2,1,2,0,0,1,0.111,1.0,1,0
1.67,3,0,0,2,1,2,2,7.83,0,1,0,3,1,0,2,0.189,6.16,1,1
0.5,4,0,0,5,3,2,3,3.42,0,1,1,3,0,0,2,0.113,2.92,1,0
1.42,3,2,1,4,0,2,3,7.42,0,3,0,2,0,0,3,0.169,6.0,1,1
0.33,3,0,0,2,1,1,2,0.83,0,4,1,2,0,0,3,0.18,0.49999999999999994,1,0
3.83,4,0,0,3,3,1,2,9.83,0,2,1,3,0,0,4,0.354,6.0,0,1
0.08,4,2,0,1,1,3,1,2.67,0,2,0,3,0,0,4,0.022,2.59,1,0
1.08,3,0,0,2,0,1,2,1.67,1,3,0,3,0,0,1,0.404,0.5899999999999999,1,0
0.58,4,0,1,1,1,3,1,5.33,1,2,1,3,0,0,1,0.092,4.75,1,0
1.08,2,0,0,5,4,1,1,4.08,1,3,0,3,0,0,1,0.213,3.0,1,0
1.58,3,1,0,1,2,2,1,2.67,0,3,0,2,0,0,4,0.431,1.0899999999999999,1,0
3.0,3,2,0,1,3,2,2,4.75,1,2,1,3,0,0,3,0.522,1.75,0,0
2.17,3,1,0,3,3,3,2,3.25,0,2,0,3,0,0,3,0.511,1.08,0,0
3.42,3,2,1,3,4,2,2,4.42,0,1,1,2,0,0,4,0.631,1.0,0,0
0.17,3,1,0,4,2,3,2,6.08,1,2,0,3,0,0,1,0.024,5.91,1,0
3.17,1,0,0,2,0,2,3,4.92,0,2,1,2,0,0,4,0.535,1.75,0,0
3.33,3,2,0,5,2,2,1,5.5,0,4,0,2,0,0,4,0.512,2.17,0,1
0.83,4,1,1,1,2,3,1,6.83,0,4,1,3,1,0,3,0.106,6.0,1,0
0.5,2,0,0,3,3,1,2,5.75,0,3,1,1,0,0,1,0.074,5.25,1,1
0.25,3,2,1,1,4,2,1,0.75,0,3,1,2,0,0,3,0.143,0.5,1,0
0.75,2,3,0,1,1,2,2,0.92,0,3,1,2,0,0,1,0.391,0.17000000000000004,1,0
0.25,3,0,0,4,0,2,2,5.17,0,2,1,2,1,0,2,0.041,4.92,1,1
1.08,2,2,0,2,2,1,2,6.83,0,1,1,3,0,0,4,0.138,5.75,1,1
0.5,3,1,0,2,2,1,1,1.42,1,3,1,3,0,0,4,0.207,0.9199999999999999,1,0
2.75,3,1,1,1,1,2,1,3.67,0,2,1,2,0,0,4,0.589,0.9199999999999999,0,0
3.58,4,0,1,1,0,1,1,8.08,1,3,1,2,0,0,4,0.394,4.5,0,1
3.17,3,0,0,3,3,2,2,8.33,0,2,1,1,0,0,4,0.34,5.16,0,1
0.67,4,0,0,1,1,3,1,1.92,0,2,0,3,0,0,1,0.229,1.25,1,0
0.42,3,0,0,2,1,3,3,2.75,0,1,1,2,1,0,2,0.112,2.33,1,0
2.17,3,0,1,1,3,1,1,2.92,1,2,0,2,0,0,4,0.554,0.75,0,0
3.5,2,0,0,3,1,3,1,7.75,0,3,0,3,0,0,4,0.4,4.25,0,0
0.5,3,1,0,2,4,2,1,2.25,1,3,0,2,1,0,3,0.154,1.75,1,0
0.75,3,0,0,2,2,2,2,2.92,0,3,1,2,0,0,1,0.191,2.17,1,0
0.83,3,0,0,1,0,1,2,2.17,0,3,1,3,0,0,4,0.262,1.3399999999999999,1,0
1.83,3,1,0,3,3,1,1,2.25,0,2,0,3,0,0,4,0.563,0.41999999999999993,1,0
2.67,4,0,1,3,3,1,2,6.83,0,3,1,3,0,0,4,0.341,4.16,0,1
3.17,3,0,0,1,0,2,1,4.08,1,3,0,3,0,0,4,0.624,0.9100000000000001,0,0
0.17,3,2,0,1,2,2,3,2.25,0,1,0,2,0,0,4,0.052,2.08,1,0
2.25,4,0,0,5,2,2,1,4.33,0,3,0,3,0,0,3,0.422,2.08,0,0
0.83,3,0,0,1,0,2,2,2.17,0,3,0,3,0,0,3,0.262,1.3399999999999999,1,0
0.58,3,2,0,2,4,1,2,2.0,0,3,0,3,0,0,3,0.193,1.42,1,0
0.75,2,1,0,2,3,1,2,6.58,0,1,1,2,1,0,2,0.099,5.83,1,1
2.42,3,0,0,2,4,1,2,4.58,0,1,1,3,1,0,3,0.434,2.16,0,0
1.17,3,1,0,2,2,2,2,5.17,0,1,0,4,0,0,3,0.19,4.0,1,1
1.33,2,1,1,1,1,1,1,3.0,0,3,0,3,0,0,4,0.332,1.67,1,0
1.83,4,1,0,4,3,1,2,5.17,0,1,1,3,0,0,3,0.297,3.34,1,1
1.17,3,0,0,3,0,2,1,7.67,1,3,0,3,0,0,4,0.135,6.5,1,1
1.92,3,0,0,2,2,2,2,7.58,0,2,1,4,0,0,4,0.224,5.66,1,1
2.17,3,1,0,2,2,3,2,6.67,0,1,0,3,0,0,3,0.283,4.5,0,0
0.33,4,2,0,4,4,1,2,1.67,0,3,1,3,0,0,2,0.124,1.3399999999999999,1,0
0.5,2,1,1,4,1,1,1,3.42,1,3,1,3,0,0,2,0.113,2.92,1,0
1.0,3,1,1,2,0,2,2,5.33,0,3,1,2,0,0,2,0.158,4.33,1,1
2.08,4,2,1,4,0,3,2,5.25,0,2,0,2,0,0,3,0.333,3.17,0,0
1.58,3,2,0,3,0,1,1,7.67,0,1,1,2,0,0,4,0.182,6.09,1,1
0.92,4,2,1,2,1,1,2,2.08,0,3,1,2,0,0,1,0.299,1.1600000000000001,1,0
1.42,3,0,0,4,0,2,2,6.17,0,2,0,4,0,0,4,0.198,4.75,1,1
1.0,3,0,1,2,0,1,3,1.83,0,1,1,2,0,0,2,0.353,0.8300000000000001,1,0
3.33,4,0,0,4,0,1,1,3.67,0,1,1,3,1,0,4,0.713,0.33999999999999986,0,0
3.67,4,2,0,4,1,2,1,9.75,0,3,1,3,0,0,4,0.341,6.08,0,1
3.5,4,0,0,1,0,1,2,4.08,0,3,1,2,0,0,4,0.689,0.5800000000000001,0,0
2.58,3,3,0,1,1,2,2,6.17,0,1,1,2,0,0,4,0.36,3.59,0,1
1.5,2,1,0,2,3,1,2,5.0,1,2,0,2,0,0,4,0.25,3.5,1,0
2.5,4,0,0,1,0,3,2,6.5,0,3,0,2,0,0,4,0.333,4.0,0,0
0.42,2,0,0,2,4,2,1,2.83,0,4,0,3,0,0,1,0.11,2.41,1,0
0.5,2,0,0,4,2,1,1,4.58,0,3,1,2,0,0,2,0.09,4.08,1,0
0.5,3,0,0,3,1,1,2,4.0,0,3,1,2,1,0,1,0.1,3.5,1,0
1.33,4,1,0,5,3,3,1,1.42,0,3,0,3,0,0,4,0.55,0.08999999999999986,1,0
1.58,3,1,0,5,3,2,2,4.42,0,1,0,2,0,0,2,0.292,2.84,1,0
1.17,3,1,1,4,0,3,1,6.42,0,3,1,3,0,0,2,0.158,5.25,1,0
0.42,3,4,0,3,4,2,3,4.42,0,4,0,2,0,0,2,0.077,4.0,1,0
2.33,3,1,0,1,0,1,2,2.42,0,1,1,2,0,0,4,0.681,0.08999999999999986,0,0
2.83,3,1,0,1,4,1,2,4.42,1,4,0,3,0,0,3,0.522,1.5899999999999999,0,0
1.67,3,0,0,1,4,2,2,5.08,0,3,0,3,1,0,2,0.275,3.41,1,1
0.67,2,2,0,3,4,2,2,1.83,0,2,1,2,0,0,4,0.237,1.1600000000000001,1,0
1.33,2,0,0,2,1,3,2,3.83,0,2,1,2,0,0,2,0.275,2.5,1,0
0.75,3,2,0,1,1,2,2,3.0,0,3,0,3,0,0,2,0.188,2.25,1,0
3.42,2,1,0,2,0,1,1,5.0,0,3,1,2,0,0,4,0.57,1.58,0,0
1.75,3,2,1,4,3,1,3,5.75,0,1,1,3,0,0,3,0.259,4.0,1,1
0.17,2,1,0,2,1,2,3,1.5,0,1,1,3,0,0,2,0.068,1.33,1,0
0.17,2,1,0,2,6,1,1,6.58,1,4,1,3,0,0,1,0.022,6.41,1,1
0.67,3,0,1,3,0,1,2,2.17,1,2,0,3,0,0,1,0.211,1.5,1,0
3.0,3,1,0,2,4,2,1,7.83,1,2,0,2,0,0,4,0.34,4.83,0,1
0.67,1,1,0,2,0,2,2,2.08,0,3,1,2,1,0,1,0.218,1.4100000000000001,1,0
0.75,3,0,0,2,4,2,3,2.0,1,3,0,3,1,0,3,0.25,1.25,1,0
0.83,3,0,0,4,0,1,3,0.92,1,3,0,2,0,0,2,0.432,0.09000000000000008,1,0
1.17,3,3,1,2,0,1,1,7.17,0,1,1,2,1,0,3,0.143,6.0,1,1
0.5,3,1,1,4,2,1,1,2.25,0,3,1,2,0,0,1,0.154,1.75,1,0
0.5,3,0,0,3,3,1,1,2.33,0,3,0,3,0,0,3,0.15,1.83,1,0
3.33,3,1,0,5,5,3,2,5.08,0,3,0,2,0,0,4,0.548,1.75,0,0
1.25,2,0,1,4,4,1,3,2.92,1,3,1,3,0,0,2,0.319,1.67,1,0
0.5,2,0,0,5,2,3,2,6.0,1,3,0,3,0,0,2,0.071,5.5,1,0
1.42,4,2,1,3,3,1,2,7.17,1,3,1,3,1,0,2,0.174,5.75,1,1
1.25,3,0,0,2,0,2,2,5.83,0,1,0,2,0,0,4,0.183,4.58,1,1
2.58,4,2,0,4,0,2,3,3.17,1,1,0,2,0,0,3,0.619,0.5899999999999999,0,0
3.75,4,0,1,4,1,2,3,6.58,0,1,1,3,0,0,4,0.495,2.83,0,1
1.42,3,0,0,4,5,1,2,5.0,0,3,0,2,0,0,1,0.237,3.58,1,0
2.25,3,0,0,4,3,1,2,7.08,1,4,0,2,0,0,3,0.278,4.83,0,1
0.83,3,0,0,3,3,2,2,6.17,0,1,1,2,0,0,1,0.116,5.34,1,1
2.75,1,0,1,1,5,3,1,4.17,0,1,1,3,0,0,4,0.532,1.42,0,0
0.75,3,1,0,3,1,1,3,4.75,0,3,0,3,0,0,1,0.13,4.0,1,0
2.5,3,0,0,2,0,2,2,4.83,0,3,1,3,0,0,4,0.429,2.33,0,0
1.0,3,1,0,3,1,1,3,3.83,0,1,1,2,0,0,3,0.207,2.83,1,0
0.08,3,0,0,2,4,1,2,6.58,0,3,0,3,0,0,1,0.011,6.5,1,1
1.42,4,2,0,2,1,2,1,2.33,0,4,1,3,0,0,4,0.426,0.9100000000000001,1,0
1.08,2,4,0,3,0,1,2,2.08,0,3,0,3,0,0,3,0.351,1.0,1,0
2.42,3,0,1,3,2,1,2,6.0,0,3,1,2,0,0,3,0.346,3.58,0,1
1.08,3,1,1,2,5,2,3,5.33,0,3,0,3,0,0,3,0.171,4.25,1,1
0.42,4,0,0,1,5,3,2,2.58,0,2,0,2,0,0,1,0.117,2.16,1,0
0.67,3,1,0,2,0,3,3,6.75,0,3,0,3,0,0,1,0.086,6.08,1,0
1.25,4,0,0,3,2,1,2,6.33,1,1,0,2,0,0,3,0.171,5.08,1,1
0.83,4,0,0,4,0,3,3,1.75,0,3,0,2,1,0,1,0.302,0.92,1,0
1.08,3,0,0,5,2,2,2,6.83,0,3,1,2,0,0,2,0.138,5.75,1,1
0.83,3,0,0,2,6,3,2,5.67,0,4,0,2,0,0,1,0.124,4.84,1,0
0.92,4,2,1,2,2,3,3,3.83,0,2,0,2,0,0,2,0.19,2.91,1,0
1.67,3,2,0,5,3,1,2,2.0,0,2,0,2,0,0,3,0.557,0.33000000000000007,1,0
0.92,2,0,1,2,3,1,3,5.58,0,4,1,2,0,0,2,0.14,4.66,1,1
1.0,3,2,0,4,4,1,1,6.33,0,3,0,2,0,0,3,0.136,5.33,1,1
0.67,3,0,0,5,0,1,3,3.67,0,4,0,3,0,0,1,0.143,3.0,1,0
1.0,2,1,0,1,0,1,1,6.08,0,4,1,2,0,0,1,0.141,5.08,1,1
0.58,3,2,1,4,2,1,2,4.0,0,1,1,3,0,0,2,0.116,3.42,1,0
0.92,4,0,0,4,2,3,3,5.5,0,3,0,3,0,0,3,0.142,4.58,1,0
1.58,3,2,1,2,3,2,1,4.0,0,1,1,1,1,0,2,0.316,2.42,1,0
0.42,3,0,0,3,1,3,2,1.08,0,1,0,2,0,0,4,0.202,0.6600000000000001,1,0
1.67,4,0,0,2,2,2,1,7.17,0,1,1,2,0,0,2,0.204,5.5,1,1
1.5,3,4,0,2,3,1,1,3.75,1,1,0,2,0,0,2,0.316,2.25,1,0
0.58,3,0,0,4,2,2,1,3.17,0,1,1,3,1,0,1,0.139,2.59,1,0
1.0,4,2,1,3,3,2,1,2.92,0,3,1,2,1,0,2,0.255,1.92,1,0
2.08,4,2,0,2,2,1,1,7.58,0,1,1,3,0,0,2,0.242,5.5,0,1
3.33,2,0,0,2,3,2,2,8.5,0,1,0,3,0,0,4,0.351,5.17,0,1
1.17,3,2,1,4,0,1,2,1.92,1,3,1,2,0,0,4,0.401,0.75,1,0
0.33,3,0,0,1,1,2,1,0.67,1,3,0,2,0,0,4,0.198,0.34,1,0
1.83,3,2,0,2,2,3,3,6.92,0,1,0,3,1,0,2,0.231,5.09,1,0
0.92,3,3,0,2,1,1,2,7.0,0,3,0,1,1,0,1,0.115,6.08,1,1
0.75,3,0,0,1,0,3,2,1.5,1,3,0,2,0,0,1,0.3,0.75,1,0
0.17,3,0,1,2,2,1,1,2.33,0,3,1,3,0,0,4,0.051,2.16,1,0
2.75,4,0,0,2,4,2,2,7.0,0,4,0,3,1,0,3,0.344,4.25,0,1
3.25,3,0,0,2,0,3,1,8.92,0,4,0,2,1,0,4,0.328,5.67,0,0
0.08,3,0,0,5,4,2,2,3.17,0,1,0,2,0,0,3,0.019,3.09,1,0
1.33,3,1,0,3,0,2,2,2.17,0,3,0,3,0,0,4,0.42,0.8399999999999999,1,0
1.75,2,2,0,1,0,1,3,2.08,0,2,1,2,1,0,2,0.568,0.33000000000000007,1,0
